Id,NeighbourHood,Area,FloorLevel,Rooms,Age,Parking,StoreRoom,Elevator,Balcony,TotalFloors,DocumentType,Equipments,Facade,PricePerMeter,TotalPrice
622,شیخ بهائی شهرك والفجر,185,6,4,0,1,1,1,1,6,شخصي,"کولر,آسانسور,گاز",کلاسيک,160000000,29600000000
623,خواجه نظام خ اجاره دار,57,2,1,19,1,0,0,1,4,شخصي,"کولر,گاز",سنگ,75438000,4300000000
624,كامرانیه جنوبی بالاتر از ك پرستو,192,3,3,2,1,1,1,1,6,شخصي,"کولر,آسانسور,استخر,حیاط,پکیج,سونا,جکوزی,گاز",ترکیبی,300000000,57600000000
625,كن سولقان,114,5,2,6,0,1,1,1,6,مشاع,"شوفاژ,کولر,آسانسور",سنگ,40350000,4600000000
626,هنگام شمیران نو,70,1,2,18,0,1,0,0,3,قولنامه اي,"کولر,گاز",سنگ,40710000,2850000000
627,سبلان شمالی مسیل باختر خ ایزدی,104,2,2,15,1,1,0,0,4,شخصي,"کولر,گاز",سنگ,67307000,7000000000
628,معلم خ گوهری,80,2,2,20,0,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,61875000,4950000000
629,نارمك خ آیت میدان 44,110,4,2,20,1,0,0,1,4,شخصي,"شوفاژ,کولر",سنگ,70000000,7700000000
630,شهران خ شیخ الاسلام,65,3,1,16,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,گاز",سنگ,107692000,7000000000
631,نیاوران خ یاسر,90,1,3,20,1,1,0,1,4,شخصي,"شوفاژ,کولر,گاز",سنگ,122222000,11000000000
632,نارمك خ 46 متری غربی خ افشاری,74,1,2,11,0,1,0,1,4,شخصي,"کولر,پکیج,گاز",سنگ,71621000,5300000000
633,سبلان شمالی خ مسیل باختر,76,2,1,20,0,0,0,1,3,شخصي,"کولر,گاز",سنگ,55263000,4200000000
634,تهرانپارس خ استخر,128,3,3,0,1,1,1,1,5,دردست اقدام,"آسانسور,پکیج",ترکیبی,85930000,11000000000
635,نیاوران بالاتراز چهارراه مژده,93,3,2,6,1,1,1,1,5,شخصي,"کولر,آسانسور,گاز",سنگ,165000000,15345000000
636,شمس آباد خ كمالی خ خانعلی,98,3,2,6,1,0,1,1,4,دردست اقدام,"کولر,آسانسور,پکیج,گاز",سنگ,95000000,9310000000
637,حكیمیه بلوار بهار خ پیام,72,3,2,8,1,1,1,1,4,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,100000000,7200000000
638,مجیدیه شمالی نرسیده به ك قدس,92,4,2,17,1,1,1,0,5,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,85000000,7820000000
639,آزادی نرسیده به خ یادگار,91,2,2,0,1,0,1,1,5,شخصي,"کولر,آسانسور,پکیج,گاز",سنگ,109890000,10000000000
640,اتابك خ خوب بخت مجتمع مبعث,87,1,2,9,1,1,1,1,8,شخصي,"کولر,آسانسور,پکیج,گاز",کامپوزيت,38000000,3306000000
641,نارمك خ آیت,86,4,2,15,0,0,1,1,5,شخصي,"کولر,آسانسور,پکیج",سنگ,83139000,7150000000
642,دروازه شمیران خ زرین نعل,91,2,2,3,1,1,1,1,5,شخصي,"شوفاژ,کولر,آسانسور,پکیج,گاز",سنگ,74725000,6800000000
643,نارمك خ دردشت,163,5,3,4,1,1,1,1,5,شخصي,"کولر,آسانسور,پکیج",سنگ,105000000,17115000000
644,میدان شهدا خ زرین نعل,143,1,3,5,1,1,0,1,6,شخصي,"کولر,پکیج,گاز",ترکیبی,76923000,11000000000
645,نارمك نرسیده به خ دمیرچی,85,3,2,22,0,1,0,0,4,شخصي,"شوفاژ,کولر",سنگ,87058000,7400000000
